,title,url,date,source
82,通 告,http://www.gz.gov.cn/xw/tzgg/content/post_5643042.html,1/24/2020,广州市卫生健康委员会
85,广州市防控新型冠状病毒感染的肺炎疫情工作指挥部通告（第1号）,http://www.gz.gov.cn/xw/tzgg/content/post_5643292.html,1/26/2020,广州市防控新型冠状病毒感染的肺炎疫情工作指挥部
83,关于取消春节期间办理部分退役士兵社保接续工作的公告,http://www.gz.gov.cn/xw/tzgg/content/post_5643200.html,1/26/2020,广州市退役军人事务局
86,广州市科学技术局关于我市当前因公出国（境）培训团组有关事项的紧急通知,http://www.gz.gov.cn/xw/tzgg/content/post_5643645.html,1/28/2020,广州市科学技术局
84,国家移民管理局暂停办理内地居民往来港澳地区旅游签注,http://www.gz.gov.cn/xw/tzgg/content/post_5644119.html,1/29/2020,国家移民管理局
87,广州市市场监督管理局关于延长广州市知识产权运营服务体系建设中央专项资金2019-2020年项目申报时间的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5644529.html,1/29/2020,广州市市场监督管理局
81,广州市政务服务数据管理局防控新型冠状病毒感染的肺炎疫情网上办事服务指引,http://www.gz.gov.cn/xw/tzgg/content/post_5644860.html,1/29/2020,广州市政务服务数据管理局
88,关于取消2020年2月2日加班办理婚姻登记的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5644130.html,1/29/2020,广州市民政局
74,广州市政务服务大厅新型冠状病毒感染的肺炎预防指引,http://www.gz.gov.cn/xw/tzgg/content/post_5645036.html,1/30/2020,广州市政务服务数据管理局
79,广州市退役军人事务局关于服务大厅、来访接待大厅暂停对外接待服务的公告,http://www.gz.gov.cn/xw/tzgg/content/post_5645098.html,1/30/2020,广州市退役军人事务局
78,广州市政务服务数据管理局关于调整春节期间对外服务时间的公告,http://www.gz.gov.cn/xw/tzgg/content/post_5645249.html,1/30/2020,广州市政务服务数据管理局
80,广州市市场监督管理局关于从严打击哄抬物价、囤积居奇、强制搭售等违法行为警示,http://www.gz.gov.cn/xw/tzgg/content/post_5645833.html,1/31/2020,广州市市场监督管理局
76,广州市防控新型冠状病毒感染的肺炎疫情工作指挥部通告（第2号）,http://www.gz.gov.cn/xw/tzgg/content/post_5645466.html,1/31/2020,市政府办公厅
77,广州市老龄工作委员会致全市老年朋友们的一封信,http://www.gz.gov.cn/xw/tzgg/content/post_5648294.html,2/1/2020,广州市卫生健康委员会
91,广州市卫生健康委关于暂停接待群众来访的通告,http://www.gz.gov.cn/xw/tzgg/content/post_5648897.html,2/3/2020,广州市卫生健康委员会
89,关于推迟广州市规划和自然资源局直属事业单位2019年第一次公开招聘事业编制,http://www.gz.gov.cn/xw/tzgg/content/post_5655618.html,2/4/2020,广州市规划和自然资源局
90,广州市住房和城乡建设局关于切实做好建筑工地复工前后疫情防控管理的紧急通知,http://www.gz.gov.cn/xw/tzgg/content/post_5654845.html,2/4/2020,广州市住房和城乡建设局
65,广州市水上巴士航线临时调整公告,http://www.gz.gov.cn/xw/tzgg/content/post_5653518.html,2/4/2020,广州市港务局
68,广州市免费提供会计人员线上继续教育服务,http://www.gz.gov.cn/xw/tzgg/content/post_5652007.html,2/5/2020,广州市财政局
71,关于暂停受理“人工繁育国家二级保护水生野生动物的审核、审批”行政许可申请的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5654834.html,2/6/2020,广州市农业农村局
67,广州市防控新型冠状病毒感染的肺炎疫情工作指挥部办公室关于广州市公共交通运营调整的通告,http://www.gz.gov.cn/xw/tzgg/content/post_5654092.html,2/6/2020,广州市人民政府办公厅
70,广州市防控新型冠状病毒感染的肺炎疫情工作指挥部关于进一步加强社区和农村疫情防控工作的通告（第3号）,http://www.gz.gov.cn/xw/tzgg/content/post_5655563.html,2/7/2020,广州市人民政府办公厅
75,广州市防控新型冠状病毒感染的肺炎疫情工作指挥部办公室关于做好企业安全有序复工复产工作的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5655587.html,2/7/2020,广州市防控新型冠状病毒感染的肺炎疫情工作指挥部办公室
72,致广大出租屋业主（代理人）的公开信,http://www.gz.gov.cn/xw/tzgg/content/post_5658895.html,2/8/2020,广州市来穗人员服务管理局
73,关于逐步恢复广州市公共交通运营服务的通告,http://www.gz.gov.cn/xw/tzgg/content/post_5657461.html,2/9/2020,广州市防控新型冠状病毒肺炎疫情工作指挥部办公室
93,广州市住房和城乡建设局关于切实做好建筑工地节后复工疫情防控管理的补充通知,http://www.gz.gov.cn/xw/tzgg/content/post_5661845.html,2/10/2020,广州市住房和城乡建设局
94,关于2020年疫情防控期间积分制入户人员可延期办理落户的有关通知,http://www.gz.gov.cn/xw/tzgg/content/post_5658454.html,2/10/2020,广州市来穗人员服务管理局
92,广州市住房和城乡建设局关于印发广州市房屋建筑工程（含管廊）类企业复工工作指引的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5661801.html,2/10/2020,广州市住房和城乡建设局
58,广州市国资委党委关于印发《关于开展 “五个一”活动组织动员国有企业在职党员投身城乡社区和企业复工复产疫情防控一线的工作方案》的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5664678.html,2/12/2020,广州市人民政府国有资产监督管理委员会
56,广州市住房和城乡建设局关于印发广州市住宅物业管理区域新冠肺炎疫情防控工作要点的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5661848.html,2/12/2020,广州市住房和城乡建设局
63,广州市医疗保障局 广州市财政局 国家税务总局广州市税务局转发关于进一步做好新型冠状病毒感染的肺炎防控医疗保障工作的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5663346.html,2/13/2020,广州市医疗保障局
62,广州市规划和自然资源局关于做好疫情防控提高不动产登记便利度支持企业复工复产的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5667173.html,2/14/2020,广州市规划和自然资源局
59,广州市防控新型冠状病毒肺炎疫情工作指挥部办公室关于加强湖北新抵穗人员健康服务管理工作的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5663543.html,2/14/2020,广州市防控新型冠状病毒肺炎疫情工作指挥部办公室
69,广州市退役军人事务局关于疫情防控期间服务大厅对外接待服务的公告,http://www.gz.gov.cn/xw/tzgg/content/post_5666489.html,2/17/2020,广州市退役军人事务局
66,广州市生态环境局办公室关于转发做好新型冠状病毒感染肺炎疫情防控期间有关建设项目环境影响评价应急服务保障的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5670681.html,2/18/2020,广州市生态环境局
50,广州市防控新型冠状病毒感染的肺炎疫情工作领导小组防治组关于做好老年人新型冠状病毒感染的肺炎疫情防控工作的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5667246.html,2/18/2020,广州市卫生健康委员会
49,广州市防控新型冠状病毒感染的肺炎疫情工作领导小组社区和农村组关于印发《农村地区新型冠状病毒感染的肺炎疫情期间防控工作指引》的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5667257.html,2/18/2020,广州市卫生健康委员会
