city,url,name
广州,http://www.gz.gov.cn/xw/tzgg/mindex.html,通知公告 - 广州市人民政府门户网站_中国广州政府
北京,http://www.bjtzh.gov.cn/bjtz/home/tzgg/index.shtml,通知公告
上海,http://www.shbsq.gov.cn/shbs/gsgg/,通知公告_上海市宝山区人民政府
深圳,http://www.sz.gov.cn/cn/xxgk/zfxxgj/tzgg/index.html,通知公告--深圳政府在线_深圳市人民政府门户网站
哈尔滨,http://www.harbin.gov.cn/col/col209/index.html#!uid=832&pageNum=1,哈尔滨市人民政府 通知公告
南宁,http://gzw.nanning.gov.cn/xxgk/zwdt/tzgg/,通知公告_南宁市人民政府国有资产监督管理委员会
太原,,政府公告-太原市人民政府门户网站
长春,http://www.changchun.gov.cn/zw_33994/tzgg/,通知公告 - 长春市人民政府-中国长春_长春政务网
合肥,http://www.hfss.gov.cn/zqdh/zjyq/slajdbsc/tzgg/10939381.html,合肥市人民政府关于2020年秸秆禁烧工作的通告 - 通知公告_合肥市...
南昌,,通知公告 - 南昌市财政局
重庆,http://www.cq.gov.cn/zwgk/wlzcwj/zbtb/cqjy/tzgg/,通知公告_重庆市人民政府网
天津,http://sasac.tj.gov.cn/tzgg,通知公告_天津市人民政府国有资产监督管理委员会
海口,http://lhqzf.haikou.gov.cn/jrlh1/tzgg.htm,通知公告-海口市龙华区人民政府
贵阳,http://www.gzbaiyun.gov.cn/xwdt/tzgg/,贵阳市白云区人民政府网站-通知公告
石家庄,http://www.sjz.gov.cn/col/1490076478426/,通知公告-石家庄市人民政府
成都,http://www.chengdu.gov.cn/xdqjxtzj/tzgg/2020-04/28/content_f625044594a341b793709908a60fb313.shtml,各单位、各企业: 按照《中共成都市委办公厅成都市人民政府...
杭州,http://www.linan.gov.cn/col/col1459500/index.html,杭州市临安区人民政府 通知公告_浙江临安政府网
武汉,,通知公告 - 武汉市硚口区人民政府门户网站
南京,http://www.jiangning.gov.cn/xwzx/tzgg/,南京市江宁区人民政府-通知公告
长沙,http://www.changsha.gov.cn/szf/tzgg/,长沙市政府门户网站-通知公告
郑州,http://www.zhengzhou.gov.cn/news6/index.jhtml,通知公告 - 郑州市人民政府
青岛,http://qdsf.qingdao.gov.cn/n3707475/n32567583/,青岛市司法局
沈阳,,通知公告-沈阳市铁西区人民政府
福州,http://www.fuzhou.gov.cn/tzgg/201912/t20191230_3158768.htm,公告_通知公告_福州市人民政府
昆明,http://jrb.km.gov.cn/tzgg/,昆明市人民政府金融办公室_通知公告
